trap_agent,target_agent,games,wins,losses,draws,score_rate,score_ci95_low,score_ci95_high,win_rate,win_ci95_low,win_ci95_high,avg_turns,avg_trap_events,avg_trap_wall_actions,avg_target_path_delta,avg_target_min_diversity
path_lure,greedy_bfs,20,20,0,0,1.0000,0.8389,1.0000,1.0000,0.8389,1.0000,17.500,0.000,1.000,-7.000,1.000
depth_trap,minimax_d1,20,19,1,0,0.9500,0.7639,0.9911,0.9500,0.7639,0.9911,28.650,0.300,6.000,0.350,0.950
rollout_poison,mcts_5,20,18,2,0,0.9000,0.6990,0.9721,0.9000,0.6990,0.9721,35.200,0.400,6.900,0.750,0.900
counter_trap,mcts_5,20,19,1,0,0.9500,0.7639,0.9911,0.9500,0.7639,0.9911,29.150,0.300,6.100,2.250,0.950
argmax_q_trap,q_learning,20,13,6,1,0.6750,0.4567,0.8369,0.6500,0.4329,0.8188,57.600,1.150,9.000,0.200,0.700
