trap_agent,target_agent,games,wins,losses,draws,score_rate,win_rate,avg_turns,avg_trap_events,avg_trap_wall_actions,avg_target_path_delta,avg_target_min_diversity
path_lure,greedy_bfs,20,0,20,0,0.0000,0.0000,17.700,0.350,3.450,-1.650,0.900
depth_trap,minimax_d1,20,19,1,0,0.9500,0.9500,28.650,0.300,6.000,0.350,0.950
rollout_poison,mcts_5,20,18,2,0,0.9000,0.9000,35.200,0.400,6.900,0.750,0.900
counter_trap,mcts_5,20,19,1,0,0.9500,0.9500,29.150,0.300,6.100,2.250,0.950
argmax_q_trap,q_learning,20,13,6,1,0.6750,0.6500,57.600,1.150,9.000,0.200,0.700
