trap_agent,target_agent,games,wins,losses,draws,score_rate,win_rate,avg_turns,avg_trap_events,avg_trap_wall_actions,avg_target_path_delta,avg_target_min_diversity
path_lure,greedy_bfs,6,3,3,0,0.5000,0.5000,11.000,0.000,0.500,-5.000,1.000
depth_trap,minimax_d1,6,6,0,0,1.0000,1.0000,21.500,0.000,4.000,-2.500,1.000
rollout_poison,mcts_5,6,6,0,0,1.0000,1.0000,33.500,1.000,7.000,-0.500,1.000
counter_trap,mcts_5,6,6,0,0,1.0000,1.0000,24.500,0.500,5.500,3.500,1.000
argmax_q_trap,q_learning,6,3,3,0,0.5000,0.5000,54.000,1.000,10.000,2.500,0.500
