game_id,pair_id,pair_index,game_index,agent_a,agent_b,agent0,agent1,seed,status,error,elapsed_seconds,winner,winner_name,turns,max_turns_reached,disqualified_player,remaining_walls_0,remaining_walls_1,initial_path_0,initial_path_1,final_path_0,final_path_1,final_path_delta_0,final_path_delta_1,final_diversity_0,final_diversity_1,min_diversity_0,min_diversity_1,move_actions_0,move_actions_1,wall_actions_0,wall_actions_1,trap_events_0,trap_events_1
target-0001-0012,depth_trap__vs__minimax_d1,1,12,depth_trap,minimax_d1,depth_trap,minimax_d1,100012,ok,,2.883545,0,depth_trap,31,False,,2,10,8,8,0,11,-8,3,0,1,0,1,8,15,8,0,0,0
target-0001-0018,depth_trap__vs__minimax_d1,1,18,depth_trap,minimax_d1,depth_trap,minimax_d1,100018,ok,,0.550563,0,depth_trap,15,False,,9,10,8,8,0,2,-8,-6,0,1,0,1,7,7,1,0,0,0
target-0001-0016,depth_trap__vs__minimax_d1,1,16,depth_trap,minimax_d1,depth_trap,minimax_d1,100016,ok,,2.117265,0,depth_trap,23,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,8,11,4,0,0,0
target-0001-0019,depth_trap__vs__minimax_d1,1,19,depth_trap,minimax_d1,minimax_d1,depth_trap,100019,ok,,0.592887,1,depth_trap,20,False,,10,7,8,8,1,0,-7,-8,1,0,1,0,10,7,0,3,0,0
target-0001-0015,depth_trap__vs__minimax_d1,1,15,depth_trap,minimax_d1,minimax_d1,depth_trap,100015,ok,,3.917003,1,depth_trap,36,False,,10,0,8,8,17,0,9,-8,1,0,1,0,18,8,0,10,0,1
target-0001-0017,depth_trap__vs__minimax_d1,1,17,depth_trap,minimax_d1,minimax_d1,depth_trap,100017,ok,,4.361825,0,minimax_d1,61,False,,8,0,8,8,0,7,-8,-1,0,1,0,1,29,20,2,10,0,1
target-0002-0001,rollout_poison__vs__mcts_5,2,1,rollout_poison,mcts_5,mcts_5,rollout_poison,200001,ok,,5.189936,1,rollout_poison,24,False,,10,5,8,8,8,0,0,-8,1,0,1,0,12,7,0,5,0,0
target-0002-0000,rollout_poison__vs__mcts_5,2,0,rollout_poison,mcts_5,rollout_poison,mcts_5,200000,ok,,6.304034,0,rollout_poison,35,False,,0,10,8,8,0,16,-8,8,0,1,0,1,8,17,10,0,0,0
target-0002-0002,rollout_poison__vs__mcts_5,2,2,rollout_poison,mcts_5,rollout_poison,mcts_5,200002,ok,,4.989013,0,rollout_poison,23,False,,5,10,8,8,0,5,-8,-3,0,2,0,1,7,11,5,0,0,0
target-0002-0003,rollout_poison__vs__mcts_5,2,3,rollout_poison,mcts_5,mcts_5,rollout_poison,200003,ok,,4.396284,1,rollout_poison,22,False,,10,6,8,8,6,0,-2,-8,1,0,1,0,11,7,0,4,0,0
target-0002-0005,rollout_poison__vs__mcts_5,2,5,rollout_poison,mcts_5,mcts_5,rollout_poison,200005,ok,,5.235067,1,rollout_poison,22,False,,10,6,8,8,6,0,-2,-8,1,0,1,0,11,7,0,4,0,0
target-0002-0006,rollout_poison__vs__mcts_5,2,6,rollout_poison,mcts_5,rollout_poison,mcts_5,200006,ok,,5.153131,0,rollout_poison,31,False,,1,10,8,8,0,16,-8,8,0,1,0,1,7,15,9,0,3,0
target-0002-0007,rollout_poison__vs__mcts_5,2,7,rollout_poison,mcts_5,mcts_5,rollout_poison,200007,ok,,4.789037,0,mcts_5,87,False,,0,0,8,8,0,5,-8,-3,0,1,0,1,34,33,10,10,1,0
target-0002-0004,rollout_poison__vs__mcts_5,2,4,rollout_poison,mcts_5,rollout_poison,mcts_5,200004,ok,,8.877905,0,rollout_poison,35,False,,0,10,8,8,0,22,-8,14,0,1,0,1,8,17,10,0,1,0
target-0002-0008,rollout_poison__vs__mcts_5,2,8,rollout_poison,mcts_5,rollout_poison,mcts_5,200008,ok,,3.221279,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0012,rollout_poison__vs__mcts_5,2,12,rollout_poison,mcts_5,rollout_poison,mcts_5,200012,ok,,2.223959,0,rollout_poison,21,False,,6,10,8,8,0,4,-8,-4,0,1,0,1,7,10,4,0,0,0
target-0002-0009,rollout_poison__vs__mcts_5,2,9,rollout_poison,mcts_5,mcts_5,rollout_poison,200009,ok,,6.848030,1,rollout_poison,32,False,,10,1,8,8,16,0,8,-8,2,0,1,0,16,7,0,9,0,1
target-0002-0013,rollout_poison__vs__mcts_5,2,13,rollout_poison,mcts_5,mcts_5,rollout_poison,200013,ok,,2.272710,1,rollout_poison,22,False,,10,6,8,8,6,0,-2,-8,1,0,1,0,11,7,0,4,0,0
target-0002-0015,rollout_poison__vs__mcts_5,2,15,rollout_poison,mcts_5,mcts_5,rollout_poison,200015,ok,,0.842571,1,rollout_poison,22,False,,10,6,8,8,6,0,-2,-8,1,0,1,0,11,7,0,4,0,0
target-0002-0011,rollout_poison__vs__mcts_5,2,11,rollout_poison,mcts_5,mcts_5,rollout_poison,200011,ok,,6.130150,0,mcts_5,83,False,,3,0,8,8,0,17,-8,9,0,1,0,1,35,31,7,10,2,1
target-0002-0010,rollout_poison__vs__mcts_5,2,10,rollout_poison,mcts_5,rollout_poison,mcts_5,200010,ok,,9.034362,0,rollout_poison,53,False,,0,5,8,8,0,12,-8,4,0,1,0,1,17,21,10,5,0,1
target-0002-0017,rollout_poison__vs__mcts_5,2,17,rollout_poison,mcts_5,mcts_5,rollout_poison,200017,ok,,2.085124,1,rollout_poison,22,False,,10,6,8,8,6,0,-2,-8,1,0,1,0,11,7,0,4,0,0
